3j3r: EMD-5610, Contour Level: 1.5, Resolution: 9.4 A
5ari: EMD-3167, Contour Level: 0.13, Resolution: 7.4 A
5fj8: EMD-3054, Contour Level: 0.0175, Resolution: 7.9 A
5fmw: EMD-3235, Contour Level: 0.09, Resolution: 6.7 A
5kbv: EMD-8232, Contour Level: 0.0296, Resolution: 6.8 A
5lcb: EMD-3276, Contour Level: 0.45, Resolution: 6.0 A
5ldf: EMD-4039, Contour Level: 0.0015, Resolution: 6.2 A
5m50: EMD-4154, Contour Level: 0.0314, Resolution: 5.3 A
5m54: EMD-4156, Contour Level: 0.0405, Resolution: 8.0 A
5m5y: EMD-3491, Contour Level: 0.04, Resolution: 5.3 A
5muv: EMD-3572, Contour Level: 0.005, Resolution: 9.1 A
5nzr: EMD-3720, Contour Level: 0.12, Resolution: 9.2 A
5o66: EMD-3850, Contour Level: 130, Resolution: 5.9 A
5u1f: EMD-8427, Contour Level: 0.011, Resolution: 6.8 A
5vy8: EMD-8744, Contour Level: 0.0194, Resolution: 5.6 A
5xf8: EMD-6671, Contour Level: 0.0253, Resolution: 7.1 A
5xvl: EMD-7055, Contour Level: 0.035, Resolution: 5.2 A
6c06: EMD-7323, Contour Level: 0.0201, Resolution: 5.15 A
6ce7: EMD-7461, Contour Level: 0.42, Resolution: 7.4 A
6cl6: EMD-7777, Contour Level: 0.0149, Resolution: 6.8 A
6k4n: EMD-6792, Contour Level: 0.024, Resolution: 9.8 A
6l6z: EMD-0840, Contour Level: 0.0128, Resolution: 6.09 A
6n1q: EMD-9317, Contour Level: 0.047, Resolution: 5.16 A
6n89: EMD-9388, Contour Level: 0.034, Resolution: 7.5 A
6nra: EMD-0492, Contour Level: 0.05, Resolution: 7.7 A
6nt8: EMD-0505, Contour Level: 0.015, Resolution: 6.5 A
6qd7: EMD-0646, Contour Level: 0.18, Resolution: 6.6 A
6qg3: EMD-4546, Contour Level: 0.03, Resolution: 9.4 A
6szb: EMD-10352, Contour Level: 0.014, Resolution: 7.0 A
6u1s: EMD-20613, Contour Level: 0.009, Resolution: 7.6 A
6ufb: EMD-20665, Contour Level: 0.008, Resolution: 5.0 A
6uby: EMD-20721, Contour Level: 0.0165, Resolution: 7.5 A
6ve4: EMD-21154, Contour Level: 0.48, Resolution: 6.9 A
6vpw: EMD-21241, Contour Level: 0.035, Resolution: 6.46 A
6vy0: EMD-21454, Contour Level: 0.0166, Resolution: 6.68 A
6wcq: EMD-21617, Contour Level: 0.045, Resolution: 8.5 A
6z9m: EMD-11123, Contour Level: 0.056, Resolution: 9.1 A
6zgl: EMD-11390, Contour Level: 0.35, Resolution: 7.7 A
6zyw: EMD-11576, Contour Level: 0.0008, Resolution: 8.78 A
7ao9: EMD-11838, Contour Level: 0.014, Resolution: 6.1 A
7dk7: EMD-22036, Contour Level: 0.75, Resolution: 9.7 A
7jpu: EMD-22423, Contour Level: 0.009, Resolution: 5.0 A
7keu: EMD-22233, Contour Level: 0.0439, Resolution: 5.0 A
7lrg: EMD-23497, Contour Level: 0.75, Resolution: 6.1 A
7m9z: EMD-12751, Contour Level: 0.1, Resolution: 6.4 A
7nd0: EMD-12272, Contour Level: 0.011, Resolution: 5.2 A
7ndg: EMD-12286, Contour Level: 0.007, Resolution: 5.98 A
7ovg: EMD-13087, Contour Level: 2.0, Resolution: 7.2 A
7rdr: EMD-24425, Contour Level: 0.26, Resolution: 6.5 A
